epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1218.44,0.64092,0.44059,0.87172,0.87634,0.75164,0.79664,0.58325,0.92926,0.77887,1.00057,0.000280723,0.000280723,0.000280723
86,1232.46,0.64939,0.46008,0.87734,0.88803,0.73609,0.79615,0.57996,0.93474,0.78198,1.00571,0.00026422,0.00026422,0.00026422
87,1245.99,0.60138,0.4323,0.86507,0.89641,0.73679,0.808,0.58977,0.93868,0.77313,0.99979,0.000247716,0.000247716,0.000247716
88,1258.47,0.61084,0.43916,0.87948,0.79271,0.8023,0.81881,0.61492,0.89667,0.705,0.97931,0.000231213,0.000231213,0.000231213
89,1271.41,0.57625,0.41781,0.86628,0.82583,0.80139,0.82522,0.60053,0.90609,0.68235,1.00589,0.00021471,0.00021471,0.00021471
90,1284.01,0.58794,0.41591,0.85896,0.83225,0.80263,0.82652,0.58944,0.92177,0.70275,1.01647,0.000198206,0.000198206,0.000198206
91,1299.17,0.61792,0.44067,0.85859,0.90714,0.78319,0.83603,0.58494,0.94018,0.72549,1.00836,0.000181703,0.000181703,0.000181703
92,1312.86,0.61226,0.42303,0.85274,0.82776,0.81864,0.82931,0.59039,0.93462,0.70842,0.99891,0.0001652,0.0001652,0.0001652
93,1327.93,0.60382,0.41774,0.83744,0.85466,0.7975,0.83088,0.60108,0.91026,0.67772,0.98554,0.000148696,0.000148696,0.000148696
94,1342.34,0.58999,0.43085,0.85721,0.83451,0.80481,0.83352,0.61488,0.89119,0.67216,0.96675,0.000132193,0.000132193,0.000132193
95,1358.21,0.5619,0.40714,0.84621,0.90141,0.77451,0.85102,0.61605,0.8893,0.66235,0.96273,0.00011569,0.00011569,0.00011569
96,1373.74,0.56469,0.40711,0.86954,0.85903,0.78054,0.83423,0.61668,0.89285,0.65838,0.96546,9.91865e-05,9.91865e-05,9.91865e-05
97,1388.6,0.5847,0.40589,0.83953,0.86188,0.78109,0.83728,0.6142,0.88874,0.65732,0.96855,8.26832e-05,8.26832e-05,8.26832e-05
98,1400.94,0.5812,0.41206,0.84794,0.83998,0.78349,0.83391,0.61404,0.88363,0.65495,0.96849,6.61799e-05,6.61799e-05,6.61799e-05
99,1416.47,0.57428,0.41336,0.84754,0.8535,0.7742,0.83649,0.61725,0.88575,0.65564,0.97092,4.96766e-05,4.96766e-05,4.96766e-05
100,1449.16,0.5627,0.5061,0.84304,0.84277,0.77451,0.83467,0.6174,0.89052,0.65916,0.9741,3.31733e-05,3.31733e-05,3.31733e-05
